epoch=231 loss_d=0.5164 loss_g=1.2697 d_real=0.6502 d_fake=0.2857
epoch=232 loss_d=0.5098 loss_g=1.2137 d_real=0.6490 d_fake=0.2853
epoch=233 loss_d=0.4719 loss_g=1.1351 d_real=0.6856 d_fake=0.2846
epoch=234 loss_d=0.5348 loss_g=1.1070 d_real=0.6478 d_fake=0.3223
epoch=235 loss_d=0.5081 loss_g=1.0679 d_real=0.6582 d_fake=0.3266
epoch=236 loss_d=0.5214 loss_g=1.2765 d_real=0.6378 d_fake=0.2985
epoch=237 loss_d=0.5214 loss_g=1.1334 d_real=0.6303 d_fake=0.3092
epoch=238 loss_d=0.5001 loss_g=1.1307 d_real=0.6583 d_fake=0.2948
epoch=239 loss_d=0.5517 loss_g=1.2766 d_real=0.6273 d_fake=0.3003
epoch=240 loss_d=0.5374 loss_g=1.1181 d_real=0.6392 d_fake=0.3172
epoch=241 loss_d=0.5221 loss_g=1.1645 d_real=0.6737 d_fake=0.3362
epoch=242 loss_d=0.5135 loss_g=1.1088 d_real=0.6516 d_fake=0.3028
epoch=243 loss_d=0.4997 loss_g=1.2239 d_real=0.6718 d_fake=0.3037
epoch=244 loss_d=0.5259 loss_g=1.2655 d_real=0.6531 d_fake=0.3236
epoch=245 loss_d=0.5535 loss_g=1.0862 d_real=0.6403 d_fake=0.3289
epoch=246 loss_d=0.5057 loss_g=1.1393 d_real=0.6659 d_fake=0.3131
epoch=247 loss_d=0.5048 loss_g=1.0585 d_real=0.6550 d_fake=0.3063
epoch=248 loss_d=0.4927 loss_g=1.3416 d_real=0.6495 d_fake=0.2801
epoch=249 loss_d=0.4612 loss_g=1.2732 d_real=0.6888 d_fake=0.2598
epoch=250 loss_d=0.5148 loss_g=1.1117 d_real=0.6537 d_fake=0.3289
epoch=251 loss_d=0.5028 loss_g=1.1411 d_real=0.6478 d_fake=0.3035
epoch=252 loss_d=0.4788 loss_g=1.2736 d_real=0.6645 d_fake=0.2900
epoch=253 loss_d=0.4792 loss_g=1.2102 d_real=0.6780 d_fake=0.2778
epoch=254 loss_d=0.5512 loss_g=1.2421 d_real=0.6517 d_fake=0.3075
epoch=255 loss_d=0.4750 loss_g=1.2748 d_real=0.6867 d_fake=0.2583
epoch=256 loss_d=0.5165 loss_g=1.1490 d_real=0.6861 d_fake=0.3297
epoch=257 loss_d=0.4967 loss_g=1.2120 d_real=0.6566 d_fake=0.3007
epoch=258 loss_d=0.5026 loss_g=1.1709 d_real=0.6566 d_fake=0.2898
epoch=259 loss_d=0.4623 loss_g=1.2134 d_real=0.6686 d_fake=0.2935
epoch=260 loss_d=0.4893 loss_g=1.2222 d_real=0.6853 d_fake=0.2995
epoch=261 loss_d=0.5358 loss_g=1.2647 d_real=0.6573 d_fake=0.2956
epoch=262 loss_d=0.5385 loss_g=1.2253 d_real=0.6768 d_fake=0.3025
epoch=263 loss_d=0.5209 loss_g=1.2169 d_real=0.6554 d_fake=0.2945
epoch=264 loss_d=0.4922 loss_g=1.1871 d_real=0.6693 d_fake=0.3077
epoch=265 loss_d=0.5009 loss_g=1.1347 d_real=0.6717 d_fake=0.3131
epoch=266 loss_d=0.4804 loss_g=1.1243 d_real=0.6754 d_fake=0.3030
epoch=267 loss_d=0.4917 loss_g=1.4439 d_real=0.6753 d_fake=0.2872
epoch=268 loss_d=0.4925 loss_g=1.6264 d_real=0.6916 d_fake=0.2692
epoch=269 loss_d=0.4539 loss_g=1.4599 d_real=0.6993 d_fake=0.2623
epoch=270 loss_d=0.5065 loss_g=1.3413 d_real=0.6752 d_fake=0.2877
epoch=271 loss_d=0.4577 loss_g=1.3181 d_real=0.7146 d_fake=0.2748
epoch=272 loss_d=0.4986 loss_g=1.3035 d_real=0.6812 d_fake=0.3005
epoch=273 loss_d=0.5025 loss_g=1.2496 d_real=0.6643 d_fake=0.3046
epoch=274 loss_d=0.4212 loss_g=1.7743 d_real=0.7160 d_fake=0.2194
epoch=275 loss_d=0.4787 loss_g=1.2971 d_real=0.7071 d_fake=0.3079
epoch=276 loss_d=0.4899 loss_g=1.3679 d_real=0.7073 d_fake=0.2689
epoch=277 loss_d=0.5271 loss_g=1.2019 d_real=0.6815 d_fake=0.3186
epoch=278 loss_d=0.5940 loss_g=1.2704 d_real=0.6438 d_fake=0.3223
epoch=279 loss_d=0.4794 loss_g=1.1891 d_real=0.6983 d_fake=0.3035
epoch=280 loss_d=0.4807 loss_g=1.1508 d_real=0.6787 d_fake=0.3035
epoch=281 loss_d=0.4982 loss_g=1.1340 d_real=0.6679 d_fake=0.3086
epoch=282 loss_d=0.4931 loss_g=1.2800 d_real=0.6753 d_fake=0.3115
epoch=283 loss_d=0.5058 loss_g=1.3087 d_real=0.6892 d_fake=0.2880
epoch=284 loss_d=0.5273 loss_g=1.2716 d_real=0.6653 d_fake=0.3076
epoch=285 loss_d=0.4445 loss_g=1.3534 d_real=0.7318 d_fake=0.2715
epoch=286 loss_d=0.4101 loss_g=1.5976 d_real=0.7403 d_fake=0.2367
epoch=287 loss_d=0.4498 loss_g=1.4229 d_real=0.7053 d_fake=0.2731
epoch=288 loss_d=0.4180 loss_g=1.3266 d_real=0.7190 d_fake=0.2385
epoch=289 loss_d=0.5204 loss_g=1.2652 d_real=0.6711 d_fake=0.3051
